scheme,payload_bits,total_bits,ratio_vs_4p25,expert_rel_err_pct,gemm_rel_err_pct,note,rel_mse_vs_fp4,rel_rmse_pct,sqnr_db,times_fp4_noise,weight_rel_err_pct
stored FP4 (baseline),4.0,4.25,1.0,,,lossless reference,0.0,0.0,120.0,0.0,
R(D) bound at 3.5 bit,3.5,3.75,0.8823529411764706,,,"Blahut-Arimoto, any scheme at this rate",0.002104384199258425,4.587356754448497,26.768749677571435,0.1580373075363468,
R(D) bound at 3.0 bit,3.0,3.25,0.7647058823529411,,,"Blahut-Arimoto, any scheme at this rate",0.008958326545485708,9.46484365717982,20.477731108667967,0.6727620402105506,
R(D) bound at 2.5 bit,2.5,2.75,0.6470588235294118,,,"Blahut-Arimoto, any scheme at this rate",0.025002602053981346,15.812211121149803,16.020147913727477,1.8776722954897593,
R(D) bound at 2.0 bit,2.0,2.25,0.5294117647058824,,,"Blahut-Arimoto, any scheme at this rate",0.05551793433249179,23.562244021419477,12.555667011391074,4.169345533471784,
R(D) bound at 1.5 bit,1.5,1.75,0.4117647058823529,,,"Blahut-Arimoto, any scheme at this rate",0.11862713113913555,34.44228957824023,9.258159723842251,8.908787859458668,
Lloyd-Max 2 levels (fixed 1 bit),1.0,1.25,0.29411764705882354,,,"codebook [-1.586, 2.006]",0.3961645259017004,62.94160197371055,4.0212441545796365,29.751589579973604,
Lloyd-Max 3 levels (fixed 2 bit),2.0,2.25,0.5294117647058824,,,"codebook [-2.802, 0.149, 3.114]",0.20419287215323004,45.18770542451011,6.899594220852929,15.334695890884273,
Lloyd-Max 3 levels + entropy coding,1.4772322493072358,1.7272322493072358,0.40640758807229077,,,"same distortion, coded rate",0.20419287215323004,45.18770542451011,6.899594220852929,15.334695890884273,
"Lloyd-Max 3 levels, base-3 packing (29 in 46 bit)",1.5862068965517242,1.8362068965517242,0.43204868154158216,,,"fixed length, LUT decode, no entropy coder",0.20419287215323004,45.18770542451011,6.899594220852929,15.334695890884273,
Lloyd-Max 4 levels (fixed 2 bit),2.0,2.25,0.5294117647058824,,,"codebook [-3.113, -0.628, 1.237, 3.837]",0.12320478834647342,35.10053964634638,9.093724130154287,9.252565682979185,
Lloyd-Max 4 levels + entropy coding,1.914137417035758,2.164137417035758,0.5092088040084137,,,"same distortion, coded rate",0.12320478834647342,35.10053964634638,9.093724130154287,9.252565682979185,
Lloyd-Max 5 levels (fixed 3 bit),3.0,3.25,0.7647058823529411,,,"codebook [-3.837, -1.465, 0.0, 1.465, 3.837]",0.07711195301528653,27.769039057066152,11.128782973546787,5.791036369546801,
Lloyd-Max 5 levels + entropy coding,2.2593725307698476,2.5093725307698476,0.5904405954752583,,,"same distortion, coded rate",0.07711195301528653,27.769039057066152,11.128782973546787,5.791036369546801,
"Lloyd-Max 5 levels, base-5 packing (31 in 72 bit)",2.3225806451612905,2.5725806451612905,0.6053130929791272,,,"fixed length, LUT decode, no entropy coder",0.07711195301528653,27.769039057066152,11.128782973546787,5.791036369546801,
Lloyd-Max 6 levels (fixed 3 bit),3.0,3.25,0.7647058823529411,,,"codebook [-3.837, -1.465, 0.0, 1.465, 3.0, 4.583]",0.06162633675681216,24.824652415857138,12.102336471904017,4.628080907377496,
Lloyd-Max 6 levels + entropy coding,2.389701051001716,2.639701051001716,0.6211061296474626,,,"same distortion, coded rate",0.06162633675681216,24.824652415857138,12.102336471904017,4.628080907377496,
"Lloyd-Max 6 levels, base-6 packing (29 in 75 bit)",2.586206896551724,2.836206896551724,0.667342799188641,,,"fixed length, LUT decode, no entropy coder",0.06162633675681216,24.824652415857138,12.102336471904017,4.628080907377496,
Lloyd-Max 8 levels (fixed 3 bit),3.0,3.25,0.7647058823529411,,,"codebook [-6.0, -4.0, -2.421, -0.628, 0.952, 2.421, 4.0, 6.0]",0.038401484276143684,19.596296659354717,14.156519891616092,2.8839159610396927,
Lloyd-Max 8 levels + entropy coding,2.4785889214846453,2.7285889214846453,0.6420209227022695,,,"same distortion, coded rate",0.038401484276143684,19.596296659354717,14.156519891616092,2.8839159610396927,
Lloyd-Max 10 levels (fixed 4 bit),4.0,4.25,1.0,,,"codebook [-4.584, -2.421, -1.168, -0.193, 0.5, 1.168, 2.0, 3.0, 4.0, 6.0]",0.022949574740121523,15.149117050218313,16.392253576094973,1.7234918425594812,
Lloyd-Max 10 levels + entropy coding,3.108064188876229,3.358064188876229,0.7901327503238186,,,"same distortion, coded rate",0.022949574740121523,15.149117050218313,16.392253576094973,1.7234918425594812,
"Lloyd-Max 10 levels, base-10 packing (31 in 103 bit)",3.3225806451612905,3.5725806451612905,0.840607210626186,,,"fixed length, LUT decode, no entropy coder",0.022949574740121523,15.149117050218313,16.392253576094973,1.7234918425594812,
Lloyd-Max 11 levels (fixed 4 bit),4.0,4.25,1.0,,,"codebook [-6.0, -3.442, -2.0, -1.5, -1.0, -0.5, 0.193, 1.465, 3.0, 4.0, 6.0]",0.01608090623093289,12.681051309309055,17.9368948046297,1.2076611886634903,
Lloyd-Max 11 levels + entropy coding,3.1198586845308443,3.3698586845308443,0.7929079257719633,,,"same distortion, coded rate",0.01608090623093289,12.681051309309055,17.9368948046297,1.2076611886634903,
"Lloyd-Max 11 levels, base-11 packing (13 in 45 bit)",3.4615384615384617,3.7115384615384617,0.8733031674208145,,,"fixed length, LUT decode, no entropy coder",0.01608090623093289,12.681051309309055,17.9368948046297,1.2076611886634903,
Lloyd-Max 12 levels (fixed 4 bit),4.0,4.25,1.0,,,"codebook [-6.0, -4.0, -3.0, -2.0, -1.168, -0.193, 0.5, 1.0, 1.5, 2.0, 3.443, 6.0]",0.008927372010608949,9.448477131585253,20.492763674566284,0.6704373832635507,
Lloyd-Max 12 levels + entropy coding,3.3433104335064456,3.5933104335064456,0.8454848078838696,,,"same distortion, coded rate",0.008927372010608949,9.448477131585253,20.492763674566284,0.6704373832635507,
"Lloyd-Max 12 levels, base-12 packing (29 in 104 bit)",3.586206896551724,3.836206896551724,0.9026369168356998,,,"fixed length, LUT decode, no entropy coder",0.008927372010608949,9.448477131585253,20.492763674566284,0.6704373832635507,
Lloyd-Max 13 levels (fixed 4 bit),4.0,4.25,1.0,,,"codebook [-6.0, -4.0, -3.0, -2.0, -1.5, -1.0, -0.5, 0.79, 0.0, 1.811, 3.0, 4.0, 6.0]",0.003539932626060932,5.949733293233346,24.510050036263046,0.26584566700314693,
Lloyd-Max 13 levels + entropy coding,3.474497572428444,3.724497572428444,0.8763523699831633,,,"same distortion, coded rate",0.003539932626060932,5.949733293233346,24.510050036263046,0.26584566700314693,
"Lloyd-Max 13 levels, base-13 packing (27 in 100 bit)",3.7037037037037037,3.9537037037037037,0.9302832244008714,,,"fixed length, LUT decode, no entropy coder",0.003539932626060932,5.949733293233346,24.510050036263046,0.26584566700314693,
Lloyd-Max 14 levels (fixed 4 bit),4.0,4.25,1.0,,,"codebook [-6.0, -4.0, -3.0, -1.811, -1.0, -0.5, 0.0, 0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 6.0]",0.0015188614902788755,3.8972573564994084,28.184818290011417,0.11406509349809055,
Lloyd-Max 14 levels + entropy coding,3.6461715570277593,3.8961715570277593,0.916746248712414,,,"same distortion, coded rate",0.0015188614902788755,3.8972573564994084,28.184818290011417,0.11406509349809055,
"Lloyd-Max 14 levels, base-14 packing (26 in 99 bit)",3.8076923076923075,4.0576923076923075,0.9547511312217194,,,"fixed length, LUT decode, no entropy coder",0.0015188614902788755,3.8972573564994084,28.184818290011417,0.11406509349809055,
Lloyd-Max 16 levels (fixed 4 bit),4.0,4.25,1.0,,,"codebook [-6.0, -4.0, -3.0, -2.0, -1.5, -1.0, -0.5, 0.0, -0.0, 0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 6.0]",2.3038010881044713e-33,4.799792795636569e-15,120.0,1.730133314969952e-31,
Lloyd-Max 16 levels + entropy coding,3.7764667195286155,4.0264667195286155,0.9474039340067331,,,"same distortion, coded rate",2.3038010881044713e-33,4.799792795636569e-15,120.0,1.730133314969952e-31,
E2M0: drop the mantissa bit,3.0,3.25,0.7647058823529411,,,"trivial decode, 6.0 clips to 4.0",0.06575251405355909,25.642253031580335,11.820876372303815,4.937953007075488,
"3 bit, top-preserving codebook",3.0,3.25,0.7647058823529411,,,no clipping of 6.0,0.1063397735183216,32.60977974754224,9.73304268978093,7.986018663693963,
prune |v| <= 0.25 + bitmap (keep 88.3%),4.533440912986288,4.783440912986288,1.12551550893795,,,1 bit mask + 4 bit per surviving weight,0.0,0.0,120.0,0.0,
prune |v| <= 0.75 + bitmap (keep 73.7%),3.94671630859375,4.19671630859375,0.9874626608455882,,,1 bit mask + 4 bit per surviving weight,0.006957536064161403,8.34118460661398,21.575445338367942,0.5225045251026765,
prune |v| <= 1.25 + bitmap (keep 53.4%),3.1344438825334824,3.3844438825334824,0.7963397370667017,,,1 bit mask + 4 bit per surviving weight,0.045486104022134446,21.32747149151405,13.421212597879446,3.4159643531392776,
prune |v| <= 1.75 + bitmap (keep 43.1%),2.7225712990274236,2.9725712990274236,0.6994285409476291,,,1 bit mask + 4 bit per surviving weight,0.08944295360567406,29.907014830249118,10.484538678491283,6.717083111971821,
prune |v| <= 2.5 + bitmap (keep 26.1%),2.044404072664222,2.294404072664222,0.5398597818033464,,,1 bit mask + 4 bit per surviving weight,0.21811314468694085,46.70258501271004,6.613181606799716,16.380095486725686,
"VQ dim 2, 64 entries (6 bit/group)",3.0,3.25,0.7647058823529411,,,"LUT decode: 64 x 2 float table, fixed rate",0.03516879374066629,18.75334469919067,14.538425273542671,2.6411438909466405,
"VQ dim 2, 64 entries, E2M1-snapped",3.0,3.25,0.7647058823529411,,,"codebook entries are 2 nibbles: 64x8 bit LUT, then the existing FP4 decode",0.043828214783387096,20.93518922374171,13.582462187257757,3.291458404283814,
"VQ dim 2, 128 entries (7 bit/group)",3.5,3.75,0.8823529411764706,,,"LUT decode: 128 x 2 float table, fixed rate",0.012746518427027216,11.290048018953335,18.946084218503103,0.9572517477462934,
"VQ dim 2, 128 entries, E2M1-snapped",3.5,3.75,0.8823529411764706,,,"codebook entries are 2 nibbles: 128x8 bit LUT, then the existing FP4 decode",0.01647383627661835,12.835044322719865,17.83205254518083,1.2371698717700002,
"VQ dim 4, 1024 entries (10 bit/group)",2.5,2.75,0.6470588235294118,,,"LUT decode: 1024 x 4 float table, fixed rate",0.047889376864812365,21.883641576486387,13.197608139478733,3.59644792142775,
"VQ dim 4, 1024 entries, E2M1-snapped",2.5,2.75,0.6470588235294118,,,"codebook entries are 4 nibbles: 1024x16 bit LUT, then the existing FP4 decode",0.054077897460727754,23.25465490191754,12.669802020322987,4.061200095938633,
"VQ dim 4, 2048 entries (11 bit/group)",2.75,3.0,0.7058823529411765,,,"LUT decode: 2048 x 4 float table, fixed rate",0.033446506046833115,18.288385944864878,14.756492436311255,2.5118016776605416,
"VQ dim 4, 2048 entries, E2M1-snapped",2.75,3.0,0.7058823529411765,,,"codebook entries are 4 nibbles: 2048x16 bit LUT, then the existing FP4 decode",0.03801564764124881,19.49760181182517,14.20037606397148,2.854939986524603,
