config,ppl,delta_ppl_pct,stored_bits,transferred_bits_B1,transferred_bits_B8,transferred_bits_B32,stored_ratio,transferred_ratio_B1,transferred_ratio_B32,proj_gb_per_token,proj_tok_s
vq3.0-all,3.2066999356898886,4.230644784592852,3.0,2.9999999999999996,3.0,3.0,0.7352941176470589,0.7352941176470588,0.7352941176470589,0.1713235294117647,12.444
bwopt3.5-B32,3.152758285137147,2.477324196257902,3.2382161458333334,3.6472955486542444,3.591138083087823,3.4999808226054694,0.7913449754901961,0.8875989526245281,0.8529366641424634,0.20681055596151507,10.308709775901043
vq3.25-all,3.1502162364128323,2.3946973889722445,3.25,3.25,3.25,3.25,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.1850294117647059,11.522222222222224
mixed3.25,3.147230556028638,2.2976507685193326,3.2502766927083333,3.756641433747412,3.7089603076345865,3.614110227894292,0.7941827512254902,0.9133273961758617,0.8797906418574805,0.21280528330897577,10.018313299602548
mixed3.30,3.146688524051323,2.280032549283839,3.299755859375,3.807696040372671,3.768585275186742,3.6874118145306367,0.8058249080882353,0.9253402447935697,0.8970380740072086,0.21560427703690174,9.888254673329632
bwopt3.5-B1,3.130475160403685,1.7530330229758695,3.322623697916667,3.499982207556936,3.484225303900237,3.463165459668329,0.8112055759803922,0.8529369900133966,0.8442742258043127,0.1987343186731214,10.727638860938939
mixed3.35,3.11494725199588,1.2483135487624475,3.3500162760416665,3.8505709756728783,3.819186623199559,3.751607784154828,0.8176508884803921,0.9354284648642066,0.9121430080364301,0.21795483231336016,9.781613820494846
mixed3.40,3.1314487487173706,1.7846785587993796,3.3999837239583335,3.8850850802277437,3.8603054385748314,3.8053201503352185,0.8294079350490197,0.9435494306418221,0.9247812118435809,0.21984701733954456,9.697425172283744
mixed3.45,3.1145135485836266,1.2342164435729774,3.450325520833333,3.9129755434782614,3.893814377262523,3.8502583103077637,0.8412530637254901,0.9501118925831202,0.9353548965430032,0.22137607097186704,9.630444657548075
vq3.5-all,3.1294994100374374,1.7213172117485964,3.5,3.5,3.5,3.4999999999999996,0.8529411764705882,0.8529411764705882,0.8529411764705881,0.19873529411764707,10.727586206896552
vq3.0-half,3.1468576702373925,2.28553048061213,3.5,3.5,3.5085522060741097,3.5136366258169573,0.8529411764705882,0.8529411764705882,0.8561497943098724,0.19873529411764707,10.727586206896552
mixed3.5,3.1001903285074257,0.7686541852156559,3.500227864583333,3.9353600543478264,3.9208768527074973,3.8872807812547654,0.8529947916666666,0.9553788363171357,0.9440660661775918,0.22260326886189263,9.577352618854412
vq3.75-all,3.0941384595815826,0.5719441054006236,3.75,3.75,3.75,3.7499999999999996,0.9117647058823529,0.9117647058823529,0.9117647058823528,0.21244117647058824,10.035483870967743
baseline,3.0765423569210197,0.0,4.0,4.0,4.0,4.0,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.22614705882352942,9.427272727272728
