section,method,bits_per_weight,ratio_vs_4bit,note,H_given_pos,H_given_pos_runmax,H_given_prev_nibble,H_given_scale_pos,H_plane,H_plugin,H_test,dict_bits_per_weight,enc_mbs,index_bits,n_ctx_used,residual_bits_per_weight,table_bits_per_weight
A,raw FP4 payload,4.0,1.0,stored form,,,,,,,,,,,,,
A,order-0 nibble entropy H(W),3.893106428209577,0.9732766070523943,static Huffman/rANS limit,,,,,,,,,,,,,
A,order-0 byte entropy,3.8792549440151607,0.9698137360037902,pairs of nibbles as one symbol,,,,,,,,,,,,,
A,order-0 scale entropy,0.03154916121873001,0.12619664487492005,6 distinct E8M0 bytes; bits/weight column is the scale share,,,,,,,,,,,,,
A,zstd level 1 (payload),3.897349661367911,0.9743374153419777,real codec on whole expert payload,,,,,,,,,768.9171311560636,,,,
A,zstd level 3 (payload),3.903342522515191,0.9758356306287977,real codec on whole expert payload,,,,,,,,,446.8657926577896,,,,
A,zstd level 9 (payload),3.8973498309100116,0.9743374577275029,real codec on whole expert payload,,,,,,,,,536.7272567012591,,,,
A,zstd level 19 (payload),3.898957994249132,0.974739498562283,real codec on whole expert payload,,,,,,,,,6.396757439684752,,,,
A,lz4 (payload),4.000248435691551,1.0000621089228878,real codec,,,,,,,,,1280.3766906733374,,,,
A,gzip -6 (payload),3.912992915400752,0.978248228850188,real codec,,,,,,,,,18.36487666711434,,,,
A,zstd level 9 (scales only),0.042279052734375,0.1691162109375,scale bytes are 5.9% of an expert,,,,,,,,,,,,,
B,H(W),3.893275613522734,0.9733189033806835,order-0,,,,,,3.893106428209577,3.893275613191597,,,,1,,3.311369154188368e-10
B,H(W | scale),3.770895986739288,0.942723996684822,exact E8M0 byte,,,,,,3.7704341748858594,3.7708959847524666,,,,6,,1.986821492513021e-09
B,H(W | position_in_block),3.893298753226087,0.9733246883065217,,,,,,,3.8930943447284725,3.893298742629706,,,,32,,1.0596381293402778e-08
B,"H(W | scale, position)",3.770987952604375,0.9427469881510937,,,,,,,3.7703781721570784,3.770987889026087,,,,192,,6.357828776041667e-08
B,H(W | layer),3.8928899649372273,0.9732224912343068,,,,,,,3.8926932350114267,3.892889962288132,,,,8,,2.6490953233506945e-09
B,"H(W | layer, matrix)",3.892841259269585,0.9732103148173963,,,,,,,3.8926209577523405,3.892841251322299,,,,24,,7.947285970052083e-09
B,"H(W | expert, matrix) [per-expert tables]",3.8928545910891996,0.9732136477722999,table cost charged per expert,,,,,,3.892097751240397,3.892839332300137,,,,384,,1.52587890625e-05
B,"H(W | layer, matrix, scale, position)",3.770723406600224,0.942680851650056,practical lower-bound candidate,,,,,,3.767973957802006,3.7707223681548574,,,,3136,,1.0384453667534721e-06
B,H(W_i | W_i-1)  Markov-1,3.8675376584177736,0.9668844146044434,,,,,,,3.867255845072167,3.867537653119583,,,,16,,5.298190646701389e-09
