K,damage_fitted_task_pct,damage_other_tasks_pct,per_token_rel_spread_pct,stored_in_place,stored_two_copies,switch_traffic_GB,switch_worst_fraction,transferred_B1,transferred_B32
0,26.77,26.769999999999992,,3.0,3.0,,,3.0000000000000004,2.9999999999999996
8,18.776564054516033,25.908590030596994,,3.0208333333333335,3.0833333333333335,,,3.223319823232323,3.076794185690927
16,16.043001567640804,25.383943539823978,,3.0416666666666665,3.1666666666666665,,,3.3360520202020205,3.148351754492715
32,12.668767661192359,24.488820423761794,,3.0833333333333335,3.3333333333333335,,,3.482002146464646,3.2755974197489564
64,8.418752242696518,22.960262693249444,,3.1666666666666665,3.6666666666666665,,,3.6552560606060602,3.475007615401686
96,5.501528660579165,21.531997916271422,,3.25,4.0,,,3.7682457070707067,3.627590479165217
128,3.448031154795879,20.270055121162077,,3.3333333333333335,4.333333333333333,,,3.845884469696969,3.7430823864355443
192,1.0830709897207507,17.56752517357956,,3.5,5.0,,,3.939967929292929,3.894672365713491
384,0.0,0.0,,4.0,7.0,,,4.0,4.0
16,,,,,,11.393187840000001,0.946875,,
32,,,,,,21.733539840000002,0.903125,,
64,,,,,,37.90209024000001,0.7875,,
128,,,,,,57.868369920000006,0.601171875,,
,,,1.5266201496124268,,,,,,
