layer 0: values 119..125, widest single tensor 7, 1s
layer 1: values 118..125, widest single tensor 7, 2s
layer 2: values 118..125, widest single tensor 7, 3s
layer 3: values 118..125, widest single tensor 7, 4s
layer 4: values 118..125, widest single tensor 7, 5s
layer 5: values 118..125, widest single tensor 7, 6s
layer 6: values 118..125, widest single tensor 7, 7s
layer 7: values 118..125, widest single tensor 7, 8s
layer 8: values 118..125, widest single tensor 7, 9s
layer 9: values 118..125, widest single tensor 7, 10s
layer 10: values 118..125, widest single tensor 7, 10s
layer 11: values 118..125, widest single tensor 7, 11s
layer 12: values 118..125, widest single tensor 7, 12s
layer 13: values 118..126, widest single tensor 8, 13s
layer 14: values 118..126, widest single tensor 8, 14s
layer 15: values 118..126, widest single tensor 8, 15s
layer 16: values 118..126, widest single tensor 8, 16s
layer 17: values 118..126, widest single tensor 8, 17s
layer 18: values 118..126, widest single tensor 8, 19s
layer 19: values 118..126, widest single tensor 8, 20s
layer 20: values 118..126, widest single tensor 8, 21s
layer 21: values 118..126, widest single tensor 8, 22s
layer 22: values 118..126, widest single tensor 8, 23s
layer 23: values 118..126, widest single tensor 8, 24s
layer 24: values 118..126, widest single tensor 8, 25s
layer 25: values 118..126, widest single tensor 8, 26s
layer 26: values 118..126, widest single tensor 8, 28s
layer 27: values 118..126, widest single tensor 8, 29s
layer 28: values 118..126, widest single tensor 8, 30s
layer 29: values 118..126, widest single tensor 8, 32s
layer 30: values 118..126, widest single tensor 8, 33s
layer 31: values 118..126, widest single tensor 8, 34s
layer 32: values 118..126, widest single tensor 8, 35s
layer 33: values 118..126, widest single tensor 8, 36s
layer 34: values 118..126, widest single tensor 8, 37s
layer 35: values 118..126, widest single tensor 8, 38s
layer 36: values 118..126, widest single tensor 8, 39s
layer 37: values 118..126, widest single tensor 8, 40s
layer 38: values 117..126, widest single tensor 8, 41s
layer 39: values 117..127, widest single tensor 10, 42s

ALL 16,986,931,200 scale bytes: 11 distinct [117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127], H0=1.0041 bit, range 117..127, widest per-tensor span 10 -> 4 bit with a per-tensor base
