method,theoretical_bit_per_weight,real_ratio_payload,expert_bit_per_weight,expert_ratio_incl_metadata,decode_MBs,io_ms,decode_ms,total_ms,vs_baseline_ms,break_even_decode_MBs,total_ms_overlapped,min_decode_MBs_for_overlap,verdict,note
raw FP4 (stored form),4.0,1.0,4.25,1.0,,11.280177695633276,0.0,11.280177695633276,0.0,nan,11.280177695633276,1666.69714851017,reject (>0.90),"baseline: 18.8 MB, 11.28 ms from disk"
zstd-3,,0.9762155038339121,3.9519151475694447,0.9298623876633988,992.055467478549,10.489012965328973,18.951198412105445,29.44021137743442,18.160033681801146,23763.24332957664,18.951198412105445,1792.4126952788397,reject (>0.90),"general-purpose LZ; finds nothing in the payload, only in the scales"
zstd-9,,0.9746571293583622,3.940679931640625,0.927218807444853,1167.7339694811442,10.459192910711115,16.10010541044176,26.559298321152877,15.279120625519601,22900.107706359664,16.10010541044176,1797.5230173588752,reject (>0.90),
lz4,,1.0000621089228878,4.1215268735532415,0.9697710290713509,4961.518643932804,10.939189532001981,3.789291414432228,14.728480946434209,3.448303250800933,55135.75544612994,10.939189532001981,1718.6501746769989,reject (>0.90),expands the payload; the gain is all from the scales
order-0 nibble rANS,3.8931,,4.1431000000000004,0.9748470588235295,,10.996448049594877,0.0,10.996448049594877,-0.2837296460383989,66262.51525882371,10.996448049594877,1709.701161248394,reject (>0.90),static 16-symbol table
"H(W | scale_bin, position)",3.771,,4.021,0.9461176470588235,,10.672375179797976,0.0,10.672375179797976,-0.6078025158352993,30932.152319511875,10.672375179797976,1761.6172298354197,reject (>0.90),"192 contexts, held out"
Markov-1,3.8675,,4.1175,0.9688235294117646,,10.928501567475296,0.0,10.928501567475296,-0.35167612815797966,53460.097216363814,10.928501567475296,1720.3309972478987,reject (>0.90),16 contexts
Markov-2,3.8454,,4.0954,0.9636235294117647,,10.869844643458004,0.0,10.869844643458004,-0.4103330521752717,45818.00052502085,10.869844643458004,1729.6144164594966,reject (>0.90),256 contexts
"bit-plane coders (cond. scale,pos)",3.8708,,4.1208,0.9696,,10.937260293686023,0.0,10.937260293686023,-0.3429174019472523,54825.56409572931,10.937260293686023,1718.9533297340863,reject (>0.90),worse than one joint symbol coder
PRNG XOR,4.0,1.0,4.25,1.0,,11.280177695633276,0.0,11.280177695633276,0.0,nan,11.280177695633276,1666.69714851017,reject (>0.90),provably a bijection: entropy unchanged (measured 4.0000)
block dictionary 65536 + XOR residual,3.8862,,4.1362000000000005,0.9732235294117648,,10.978134349336084,0.0,10.978134349336084,-0.3020433462971912,62244.840783552354,10.978134349336084,1712.5532810715686,reject (>0.90),NN Hamming 35/128; the independence control gives 36.7
nearest-block residual (1M dictionary),3.9783,,4.2283,0.9948941176470588,,11.222582435399103,0.0,11.222582435399103,-0.05759526023417294,326426.8608833356,11.222582435399103,1675.250781914297,reject (>0.90),worse than raw once the index is paid
best context model (payload only),3.7497,,3.9997,0.9411058823529411,,10.615841583346919,0.0,10.615841583346919,-0.6643361122863567,28299.89165468718,10.615841583346919,1770.9985451829448,reject (>0.90),"H(W | scale, pos, running block max, prev nibble), 6867 contexts, held out"
scales: 4-bit packing only,,1.0,4.125,0.9705882352941176,20000,10.948407763408767,0.055296,11.003703763408767,-0.27647393222450845,56667.70304934571,10.948407763408767,1717.203122707448,reject (>0.90),"11 distinct E8M0 values model-wide; decode is one shift, foldable into the FP4 kernels"
scales: entropy coded only,,,4.031378125,0.9485595588235294,1000,10.699920378420915,1.10592,11.805840378420914,0.5256626827876385,32400.522048254305,10.699920378420915,1757.0822338001906,reject (>0.90),"1.012 bit/scale; payload untouched, random access preserved"
best combined (context rANS + coded scales),3.7810781249999996,,3.7810781249999996,0.8896654411764705,,10.035584266134562,0.0,10.035584266134562,-1.244593429498714,15105.84866864703,10.035584266134562,1873.3976519377586,only if decode is ~free,the floor of everything measured
+-0 alias merged (NOT byte-lossless),3.6330999999999998,,3.6644781249999996,0.8622301470588234,,9.72610927335554,0.0,9.72610927335554,-1.5540684222777355,12097.691279541385,9.72610927335554,1933.0072767641977,only if decode is ~free,"codes 0 and 8 both dequantize to zero; exactly P(mag=0)=0.1166 bit saved because the sign bit measures 1.0000 under every context; inference-identical, checkpoint bytes change"
